species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Object,Familiar object,L6,4,Nougat,71.5,Female,Individual,1,5,NA,NA,0,2.903,6,0,6,0,23.657,23.657,66.165,NA,NA,
Marmoset,Object,Familiar object,L6,4,Nox,56.5,Male,Individual,1,2,NA,NA,0,2.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,camera fell over after 2 min 40 sec
Marmoset,Object,Familiar object,L5,2,Washington,91,Female,Individual,1,4,NA,NA,0,4.771,6,3,9,9.343,58.358,67.701,146.012,NA,NA,
Marmoset,Object,Familiar object,L5,2,Wolverine,33.5,Male,Individual,1,7,NA,NA,0,0.967,8,2,10,2.336,34.334,36.67,66.667,NA,NA,
Marmoset,Object,Familiar object,L8,2,Tabor,148.5,Male,Social,1,3,0,3,0,22.656,14,1,15,1.502,101.903,103.405,242.877,NA,NA,
Marmoset,Object,Familiar object,L8,2,Wuschel,15.5,Male,Social,1,7,4,3,0,0.601,23,3,26,0.099,119.653,119.752,219.753,NA,NA,
Marmoset,Object,Familiar object,R2,2,Marvin,169,Male,Social,1,4,3,1,0,2.902,18,5,23,2.002,104.939,106.941,231.331,NA,NA,
Marmoset,Object,Familiar object,R2,2,Jamaica,64,Female,Social,1,6,0,6,0,59.759,9,3,12,0.12,37.138,37.258,106.473,NA,NA,
Marmoset,Object,Familiar object,R3,2,John,165.5,Male,Social,1,3,2,1,0,1.969,8,2,10,0.066,56.956,57.022,90.39,NA,NA,
Marmoset,Object,Familiar object,R3,2,Mojita,70,Female,Social,1,6,4,2,0,4.905,11,3,14,0.099,86.185,86.284,165.032,NA,NA,
Marmoset,Object,Familiar object,M3,2,Werewolf,34,Male,Social,1,5,2,3,0,32.232,14,0,14,0,62.328,62.328,164.932,NA,NA,
Marmoset,Object,Familiar object,M3,2,Jambi,64,Female,Social,1,8,3,5,0,2.336,10,0,10,0,43.011,43.011,116.683,NA,NA,
Marmoset,Object,Familiar object,H1,2,Wasabi,50,Female,Social,1,4,2,2,0,25.392,14,1,15,10.344,70.439,80.783,230.063,NA,NA,
Marmoset,Object,Familiar object,H1,2,Kapi,223,Male,Social,1,3,0,3,0,16.349,15,4,19,0.132,110.745,110.877,248.515,NA,NA,
Marmoset,Object,Familiar object,H6,2,Vesta,197,Female,Social,1,4,3,1,0,6.14,11,0,11,0,69.501,69.501,162.83,NA,NA,
Marmoset,Object,Familiar object,H6,2,Vito,177.5,Male,Social,1,3,2,1,0,21.455,9,0,9,0,108.342,108.342,172.64,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lola,95.5,Female,Social,1,4,0,4,0,35.235,1,1,2,0.033,11.078,11.111,46.98,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lancia,222.5,Female,Social,1,2,0,2,0,6.006,13,1,14,0.033,107.005,107.038,255.989,NA,NA,
Marmoset,Object,Familiar object,L4,2,Lotus,104,Male,Social,1,9,0,9,0,0.934,16,0,16,0,66.1,66.1,200.501,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lexus,211.5,Male,Social,1,4,1,3,0,6.406,11,1,12,0.033,77.577,77.61,191.692,NA,NA,
Marmoset,Object,Familiar object,L6,4,Nux,56,Female,Social,1,5,1,4,0,14.414,13,4,17,0.12,121.755,121.875,203.203,NA,NA,
Marmoset,Object,Familiar object,L6,4,Lex,175.5,Male,Social,1,3,0,3,0,2.937,19,1,20,0.033,101.369,101.402,210.376,NA,NA,
Marmoset,Object,Familiar object,L6,4,Nougat,71,Female,Social,1,6,0,6,0,1.936,11,1,12,0.033,56.124,56.157,146.112,NA,NA,
Marmoset,Object,Familiar object,L6,4,Nox,56,Male,Social,1,5,0,5,0,0.734,9,2,11,0.066,77.678,77.744,148.181,NA,NA,
Marmoset,Object,Familiar object,L5,2,Washington,90.5,Female,Social,1,6,1,5,0,3.27,11,3,14,0.099,76.678,76.777,129.263,NA,NA,
Marmoset,Object,Familiar object,L5,2,Wolverine,33,Male,Social,1,7,5,2,0,1.435,9,0,9,0,45.078,45.078,161.195,NA,NA,
Marmoset,Object,Glas marbles,L8,2,Tabor,143.5,Male,Social,1,8,7,1,0,6.84,9,0,9,0,14.281,14.281,80.78,NA,NA,
Marmoset,Object,Glas marbles,L8,2,Wuschel,11.5,Male,Social,1,11,8,3,0,7.907,16,2,18,1.602,4.171,5.773,97.865,NA,NA,
Marmoset,Object,Glas marbles,R2,2,Marvin,164,Male,Social,1,2,0,2,0,2.97,5,1,6,2.236,1.568,3.804,21.921,NA,NA,
Marmoset,Object,Glas marbles,R2,2,Jamaica,59,Female,Social,1,4,3,1,0,19.019,10,4,14,9.076,3.704,12.78,78.111,NA,NA,
Marmoset,Object,Glas marbles,R3,2,John,162.5,Male,Social,1,3,3,0,0,5.872,9,1,10,2.669,4.004,6.673,106.206,NA,NA,
Marmoset,Object,Glas marbles,R3,2,Mojita,65,Female,Social,1,2,1,1,0,6.239,2,0,2,0,2.002,2.002,19.987,NA,NA,
Marmoset,Object,Glas marbles,L5,3,Werewolf,29,Male,Social,1,1,0,1,0,8.809,5,1,6,3.07,7.541,10.611,38.605,NA,NA,
Marmoset,Object,Glas marbles,M3,2,Jambi,59,Female,Social,1,2,0,2,0,14.448,4,3,7,3.303,2.903,6.206,118.652,NA,NA,
Marmoset,Object,Glas marbles,H1,2,Wasabi,45,Female,Social,1,3,2,1,0,3.571,12,10,22,73.74,2.235,75.975,150.283,NA,NA,
Marmoset,Object,Glas marbles,H1,2,Kapi,218,Male,Social,1,1,1,0,0,0.367,9,1,10,0.033,13.213,13.246,44.578,NA,NA,
Marmoset,Object,Glas marbles,H6,2,Vesta,192,Female,Social,1,1,1,0,0,2.903,4,2,6,4.637,1.968,6.605,18.619,NA,NA,
Marmoset,Object,Glas marbles,H6,2,Vito,172.5,Male,Social,1,4,3,1,0,1.435,9,6,15,18.285,18.819,37.104,107.24,NA,NA,
Marmoset,Object,Glas marbles,L4,4,Lola,90.5,Female,Social,1,3,0,3,0,1.101,14,1,15,5.005,3.304,8.309,94.161,NA,NA,
